no,0.089199997,0.098200001,0.103200004,0.100900002,0.102799997,0.097400002,0.096199997,0.119499996,0.101000004,0.113499999,,,,,,,,,,,,,
random,0.089199997,0.183300003,0.283899993,0.182699993,0.199200004,0.170399994,0.343899995,0.1884,0.255899996,0.202399999,,,,,,,,,,,,,
least-forgetting,0.089199997,0.186199993,0.274199992,0.346100003,0.26789999,0.384200007,0.505200028,0.644500017,0.577899992,0.604300022,,,,,,,,,,,,,
most-forgetting,0.089199997,0.185200006,0.276899993,0.26730001,0.265399992,0.293199986,0.571799994,0.662599981,0.589100003,0.549799979,,,,,,,,,,,,,
confidence,0.089199997,0.185399994,0.281399995,0.360399991,0.416500002,0.478300005,0.561600029,0.660300016,0.517199993,0.698700011,,,,,,,,,,,,,
no,0.103200004,0.095799997,0.113499999,0.101099998,0.089199997,0.097999997,0.098200001,0.102799997,0.097400002,0.101400003,,,,,,,,,,,,,
random,0.103200004,0.196199998,0.297100008,0.371499985,0.439700007,0.523599982,0.508599997,0.523800015,0.635500014,0.497599989,,,,,,,,,,,,,
least-forgetting,0.103200004,0.196500003,0.298400015,0.308299989,0.177000001,0.098099999,0.51819998,0.274800003,0.446999997,0.552699983,,,,,,,,,,,,,
most-forgetting,0.103200004,0.193200007,0.30340001,0.383599997,0.450100005,0.522400022,0.457599998,0.431199998,0.395099998,0.435499996,,,,,,,,,,,,,
confidence,0.103200004,0.196799994,0.302599996,0.396299988,0.471799999,0.550400019,0.63349998,0.635200024,0.720899999,0.800199986,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Epochs,5,10,15,20,25,30,35,40,45,50,,,Epochs,no,no,no,no,no,no,no,no,no,no
no,0.103200004,0.102799997,0.097400002,0.098899998,0.097400002,0.101800002,0.116099998,0.102799997,0.100900002,0.101000004,,,5,0.103200004,0.098200001,0.089199997,0.097599998,0.095799997,0.095799997,0.089199997,0.113499999,0.089199997,0.103200004
no,0.098200001,0.101000004,0.095799997,0.100900002,0.114799999,0.103200004,0.089199997,0.097999997,0.102799997,0.097400002,,,10,0.102799997,0.101000004,0.101000004,0.100900002,0.113499999,0.103200004,0.098200001,0.102799997,0.098200001,0.095799997
no,0.089199997,0.101000004,0.095799997,0.133300006,0.103200004,0.098399997,0.097400002,0.098200001,0.100900002,0.102799997,,,15,0.097400002,0.095799997,0.095799997,0.102799997,0.103200004,0.101000004,0.101899996,0.101000004,0.103200004,0.113499999
no,0.097599998,0.100900002,0.102799997,0.101000004,0.098200001,0.095899999,0.089400001,0.113799997,0.107900001,0.103200004,,,20,0.098899998,0.100900002,0.133300006,0.101000004,0.098200001,0.1052,0.109099999,0.097400002,0.100900002,0.101099998
